,Topic 0 words,Topic 0 weights,Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights
0,esg,2561.9,green,1584.1,news,2471.8,climat,4609.7,product,5076.1
1,investment,2459.3,cooki,1421.6,july,1964.0,energy,3279.0,greenwashing,4927.3
2,fund,2171.2,data,1165.2,email,1491.3,carbon,2955.8,brand,3904.2
3,investor,1898.6,business,1132.5,new,1390.3,emission,2517.0,mor,3888.7
4,investing,1358.8,mor,1016.0,jun,1253.8,gas,2185.6,consum,3393.5
5,market,1342.1,sustainability,895.9,mor,1078.9,fuel,2174.4,sustainabl,3134.6
6,financial,1334.5,hav,854.8,read,1075.7,fossil,1981.9,hav,2803.6
7,mor,1120.1,bitcoin,826.2,search,854.1,oil,1866.3,claim,2621.7
8,business,1111.3,greenwashing,812.6,reply,851.6,hav,1856.9,fashion,2609.6
9,asset,1086.8,european,809.6,post,799.9,chang,1593.2,sustainability,2531.1
10,sustainabl,1081.9,climat,806.4,pleas,796.4,mor,1529.3,compani,2474.1
11,news,1027.8,environmental,767.0,comment,775.2,new,1437.7,environmental,2292.1
12,hav,971.1,information,759.8,april,743.7,year,1223.7,green,2208.1
13,compani,942.4,news,735.4,week,738.9,compani,1173.3,mak,2002.4
14,sustainability,937.2,financial,696.0,policy,733.2,company,1129.2,thes,1867.8
15,greenwashing,920.2,sustainabl,692.0,event,721.7,renewabl,1097.8,marketing,1852.5
16,risk,863.6,new,690.8,com,702.6,zero,1082.1,business,1768.2
17,manag,801.8,websit,677.2,subscrib,667.4,said,1011.7,company,1737.8
18,law,746.2,support,624.3,food,642.1,green,991.8,lik,1523.9
19,new,721.8,use,598.7,hav,640.6,global,969.8,friendly,1501.3
20,management,717.6,servic,593.7,shar,635.9,pow,862.6,ther,1418.9
21,financ,703.5,provid,581.9,march,618.3,thes,837.4,eco,1408.6
22,company,681.7,chang,576.5,health,593.1,net,836.5,use,1377.3
23,said,672.7,policy,559.9,sign,586.8,plan,832.0,good,1306.0
24,global,667.2,help,546.7,covid,585.3,greenwashing,816.3,mad,1302.6
25,green,660.1,report,545.7,add,584.6,world,797.8,som,1277.1
26,impact,642.3,research,544.2,greenwashing,584.6,environmental,797.4,environment,1254.1
27,climat,634.3,market,526.2,ago,579.7,action,767.0,plastic,1246.2
28,year,633.1,compani,525.3,january,565.4,lik,746.1,impact,1188.5
29,product,607.7,need,507.8,february,565.1,government,738.1,just,1144.8
30,industry,605.0,thes,505.9,media,564.6,project,736.6,term,1092.0
31,bond,580.7,com,495.8,account,553.8,coal,734.2,oth,1036.8
32,environmental,580.2,social,495.3,august,553.2,tim,719.2,practic,1035.8
33,sign,567.7,oth,493.7,facebook,545.9,industry,717.3,peopl,1035.1
34,corporat,549.3,articl,478.3,business,541.9,oth,714.3,exampl,1032.9
35,bank,545.6,impact,475.0,contact,541.1,just,689.8,industry,1031.5
36,firm,541.3,firm,470.3,decemb,538.1,target,676.3,material,1017.7
37,policy,537.4,reporting,464.2,septemb,536.5,public,662.2,work,1003.7
38,regulation,523.9,investment,448.8,tim,516.7,whil,641.4,new,991.4
39,english,523.6,world,447.5,world,515.2,need,603.0,tak,950.3
40,issu,522.2,project,445.1,year,512.4,larg,597.9,tim,929.7
41,read,510.1,development,443.1,right,504.0,policy,589.6,need,927.2
42,term,505.9,journal,434.1,novemb,501.5,use,580.8,know,919.9
43,servic,500.5,mak,433.5,octob,501.4,business,573.0,chang,917.5
44,data,498.3,sector,427.2,address,483.9,million,571.1,making,900.3
45,asia,490.9,set,426.6,open,482.2,clean,558.9,way,896.9
46,responsibl,483.2,financ,425.5,privacy,474.9,som,553.5,ethical,883.1
47,search,447.8,risk,425.4,free,474.5,report,543.3,actually,874.1
48,contact,446.6,commission,419.9,climat,469.8,work,530.4,food,872.3
49,capital,430.6,energy,419.7,click,435.6,campaign,530.1,look,871.2
